Sample;Clade
GW3005;G01
GW3030;G01
GW3314;G01
GW4193;G01
GW4194;G01
GW4283;G01
GW3014;G02
GW3576;G02
GW3582;G02
GW3047;G03
GW4094;G03
GW4377;G03
GW3074;G04
GW3078;G04
GW3134;G04
GW3217;G04
GW4229;G04
GW4340;G04
GW4409;G04
GW4507;G04
GW5854;G04
GW5936;G04
GW5970;G04
GW5971;G04
GW5998;G04
GW5894;G05
GW6169;G05
GW3257;G06
GW3263;G06
GW3265;G06
GW3294;G06
GW6134;G07
GW3065;G07
GW4298;G07
GW4299;G07
GW4310;G07
GW4433;G07
GW5889;G07
GW6114;G07
GW3068;G08
GW4285;G08
GW4301;G08
GW4434;G08
GW5926;G08
GW3018;G09
GW3107;G09
GW3108;G09
GW4305;G09
GW6053;G09
GW3124;G10
GW3125;G10
GW3127;G10
GW3010;G11
GW3077;G11
GW3123;G11
GW3523;G11
GW3119;G12
GW3122;G12
GW4082;G12
GW4191;G12
GW4284;G12
GW4286;G12
GW4374;G12
GW4431;G12
GW5796;G12
GW5850;G12
GW5973;G12
GW6016;G12
GW6026;G12
GW6193;G12
GW6197;G12
GW6198;G12
GW3387;G13
GW3443;G13
GW3488;G13
GW3236;G14
GW3250;G14
GW6141;G14
GW4147;G15
GW4293;G15
GW4476;G15
GW5831;G15
GW3145;G16
GW4109;G16
GW4146;G16
GW4187;G16
GW4246;G16
GW4249;G16
GW4253;G16
GW4339;G16
GW6018;G16
GW3232;G17
GW3233;G17
GW3234;G17
GW3240;G17
GW3246;G17
GW3248;G17
GW3320;G17
GW3364;G17
GW3389;G17
GW3390;G17
GW3406;G17
GW3430;G17
GW3434;G17
GW3479;G17
GW3487;G17
GW3491;G17
GW3528;G17
GW3543;G17
GW5871;G17
GW5967;G17
GW6084;G17
GW6139;G17
GW5878;G18
GW5910;G18
GW3398;G19
GW3405;G19
GW3407;G19
GW3409;G19
GW3410;G19
GW3413;G19
GW3420;G19
GW3490;G19
GW3574;G19
GW5876;G19
GW5888;G19
GW5907;G19
GW6087;G19
GW6100;G19
GW6202;G19
GW3496;G20
GW5930;G20
GW6176;G20
GW6186;G20
GW3415;G21
GW3448;G21
GW5915;G21
GW5943;G21
GW3092;G22
GW6015;G22
GW4420;NA
GW4436;NA
GW4439;NA
GW4440;NA
